,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=20, n_estimators=41, n_jobs=-3)",0.9541406703005746,46.983063490700154,0.016655061720656485,23.691463414634143,32.92790562036056,0.9541521050713787,0.9505827428144743,-39.344565368105236,0.011849489609317752,-22.334963414634153,-27.04223851626016,0.9552200782675078,0,0,2,2,0,0,0,0,0,0,0,0,0
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.943721549881919,52.04734064869732,0.015263303768150582,27.199249267578125,36.960793005901834,0.9442969699626282,0.9359029608444656,-45.40183553870879,0.01445144625423811,-25.944551086425783,-33.83838606287638,0.9416138430678543,2,2,0,6,2,2,2,2,2,2,2,3,13
"GradientBoostingRegressor(learning_rate=0.11, max_depth=7, n_estimators=50,
                          subsample=0.6)",0.9507555463035577,48.68622948314006,0.016580935418674215,22.858881259265075,34.42970646543508,0.9507996024025942,0.9344093149899717,-45.648154075327696,0.013940813539273764,-25.50256964099598,-34.46902606135897,0.9433579036322056,1,1,1,1,1,1,3,3,1,1,3,2,13
<catboost.core.CatBoostRegressor object at 0x000001D5D61B06A0>,0.9382710174929698,54.50948000666243,0.02404807185284943,30.94093460952456,40.675509587851295,0.9383035557285205,0.9436577448867716,-43.563399754838734,0.016223993697949277,-29.893623064877396,-33.00810149369012,0.9467982178015735,3,3,7,10,5,3,1,1,3,6,1,1,13
"RandomForestRegressor(max_depth=22, min_samples_leaf=2, n_estimators=200)",0.9364635333177346,55.30176720591756,0.018563088045989197,24.621971428571555,38.534745505309886,0.9366176061722573,0.926486889190912,-48.98437905015067,0.01628781669552536,-27.831518206349187,-34.830034334838736,0.9328439051270884,4,4,3,5,3,4,5,5,4,3,4,6,27
"LGBMRegressor(learning_rate=0.01, max_depth=13, n_estimators=500, num_leaves=8)",0.9334595463367669,56.593995850224,0.023157478905771554,24.590447049352946,41.47902639033128,0.9335976557102558,0.9279064493077509,-48.230481477178095,0.01838990808575126,-31.686827361432382,-37.87549795838941,0.934738947359409,5,5,6,4,6,5,4,4,6,9,6,4,33
"AdaBoostRegressor(loss='square', n_estimators=110)",0.9316735539506429,57.34847791230655,0.02036926958140575,28.23333333333332,40.6598607329694,0.9316765073758289,0.9172595306377506,-49.28526433469451,0.018369554228034463,-29.61703750657649,-37.28469422746465,0.924416107194989,6,6,4,7,4,6,6,6,5,5,5,8,35
"SVR(C=1.6, cache_size=2000, epsilon=0.04, gamma=4, kernel='poly')",0.9186670255298339,62.56922958872106,0.03296351626286118,24.359844141921116,42.15635430189687,0.9188563966524318,0.9095587742648575,-55.08536666773,0.029671450491915486,-28.813677457255245,-38.63918450918671,0.9203652911944928,11,11,10,3,8,11,7,9,10,4,7,9,46
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(50, 8), max_iter=60,
             solver='lbfgs')",0.9233119778677654,60.75629027439353,0.03370190811733554,31.553717321512863,43.959335705229144,0.924904248237987,0.9080205136239579,-54.27134008356024,0.025652924236911696,-31.11210517953196,-39.78736825518705,0.9340283527756593,7,7,11,11,9,7,8,7,9,8,9,5,46
"BaggingRegressor(max_features=0.7000000000000001, max_samples=0.5,
                 n_estimators=50)",0.9204136786036294,61.89373563075241,0.031031453272700526,21.39530000000002,42.07248405797102,0.9204273307746708,0.9024218372534056,-54.91646516733207,0.025128036841903026,-30.514200000000006,-39.65960332142856,0.9298739758899423,10,10,8,0,7,10,9,8,8,7,8,7,47
Lasso(alpha=0.4),0.9208562217851413,61.72141435017427,0.03175559811050764,30.54594332005206,45.03406801882312,0.9208694126175053,0.9022683853229372,-56.058561625683616,0.03402522346974019,-34.466089116900314,-43.095471772044895,0.9156459570181467,9,9,9,9,11,9,10,10,12,11,10,10,63
"DecisionTreeRegressor(max_depth=20, min_samples_leaf=4, min_samples_split=5)",0.9225488388248325,61.05784140352786,0.021059390214286856,30.349999999999966,44.434143374741204,0.9229123533230632,0.8875185927849996,-59.90139280169656,0.024661894618462497,-33.51017857142856,-45.09807876984127,0.9003417863913006,8,8,5,8,10,8,12,12,7,10,12,12,65
"Ridge(alpha=0.01, solver='cholesky')",0.9095355366071552,65.98823093189768,0.035049981391553,33.835102315345694,47.46557862884202,0.9096000536393294,0.9000433846300238,-56.74575520082787,0.033060783999896946,-35.596535914625456,-43.16559154910622,0.913171830065146,12,12,12,12,12,12,11,11,11,12,11,11,67
LinearRegression(),0.9075449287029425,66.71029310087931,0.035617392921601786,34.52344984507732,48.13184018116813,0.9076159546479649,0.5689255456499603,-105.01782156167873,0.06292718815845307,-35.646844146845694,-52.012413548847704,0.6409038828205291,13,13,13,13,13,13,13,13,13,13,13,13,78
