,Hardness,Al,Co,Cr,Cu,Fe,Ni,
35,532,0.167,0.333,0.167,0,0.167,0.167,0.723809731
89,712,0.25,0.25,0.25,0,0,0.25,0.927094752
44,175,0,0.333,0.167,0.167,0.167,0.167,0.659000201
261,375,0.167,0.167,0.167,0.333,0.167,0.167,0.204153224
133,510,0.272727273,0.181818182,0.181818182,0.181818182,0.181818182,0,0.642006049
181,855,0.43,0.19,0.19,0,0.11,0.08,0.73202859
48,438,0.238,0.238,0.05,0,0.238,0.238,0.720766202
43,615,0.238,0.238,0.238,0,0.238,0.05,0.31431016
237,557,0.31,0.172,0.172,0.172,0.172,0,0.029015413
18,609,0.308,0.154,0.154,0.077,0.154,0.154,0.506992913
129,304,0.063,0,0.313,0,0.469,0.156,0.34595059
233,207,0.111,0.222,0.222,0.222,0.222,0,0.172906295
258,403.25,0.152,0.19,0.19,0.086,0.19,0.19,0.841126219
74,487,0.238,0.19,0.19,0,0.19,0.19,0.488677438
128,701,0.429,0.214,0.071,0.071,0.071,0.143,0.690221537
216,458,0.167,0.167,0.167,0.167,0.167,0.167,0.486715928
80,483,0.12,0,0.31,0.2,0.05,0.32,0.37532843
221,299.2,0.167,0.167,0,0.167,0.167,0.333,0.051174375
177,604,0.38,0.11,0.06,0.09,0.31,0.05,0.225055338
36,537,0.167,0.167,0.167,0.083,0.25,0.167,0.245902299
256,341.09,0.143,0.19,0.19,0.095,0.19,0.19,0.866640197
262,637.2,0.238,0.238,0.238,0,0.048,0.238,0.208102936
239,603,0.365,0.159,0.159,0.159,0.159,0,0.656384973
138,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0.308977797
125,172,0,0.225,0.225,0.225,0.1,0.225,0.196615267
241,657,0.412,0.147,0.147,0.147,0.147,0,0.675465188
218,430.9,0.222,0.222,0,0.222,0.222,0.111,0.817701548
82,380,0.2,0.267,0,0,0.267,0.267,0.295530435
255,312.54,0.135,0.192,0.192,0.096,0.192,0.192,0.252943749
91,695,0.385,0.154,0.154,0,0.154,0.154,0.046329001
47,388,0.158,0.211,0.211,0,0.211,0.211,0.83776178
228,162,0.138,0,0.192,0.192,0.192,0.385,0.904226619
254,240.78,0.1,0.2,0.2,0.1,0.2,0.2,0.839514682
217,581.7,0.333,0.167,0.167,0,0.167,0.167,0.690447368
84,158,0,0.167,0.167,0.167,0.167,0.333,0.826114359
182,802,0.39,0.1,0.31,0.05,0.08,0.07,0.684047611
132,521,0.194,0,0.161,0.161,0.161,0.323,0.837174178
33,476,0.245283019,0.188679245,0.188679245,0.188679245,0.188679245,0,0.509417051
136,654,0.28,0.08,0.25,0.08,0.19,0.12,0.137266888
236,510,0.273,0.182,0.182,0.182,0.182,0,0.57787314
169,586,0.2,0.2,0.2,0.1,0.1,0.2,0.806544536
264,124,0,0.2,0.2,0,0.4,0.2,0.970736152
70,249,0.167,0.333,0,0.167,0.167,0.167,0.391593321
69,510,0.231,0.154,0.154,0.154,0.154,0.154,0.477567829
24,158,0,0.225,0.1,0.225,0.225,0.225,0.883896857
77,295,0.154,0.308,0.154,0.077,0.154,0.154,0.763840776
78,118,0.024,0.244,0.244,0,0.244,0.244,0.224642839
137,127,0.091,0.227,0.227,0,0.227,0.227,0.251115808
134,527,0.184,0.204,0.204,0,0.204,0.204,0.854343757
73,367,0.182,0.182,0.091,0.182,0.182,0.182,0.474998328
232,180,0.07,0.233,0.233,0.233,0.233,0,0.328141558
176,728,0.47,0.14,0.15,0.05,0.13,0.06,0.565770982
40,576,0.286,0.143,0.143,0.143,0.143,0.143,0.885343419
180,811,0.47,0.12,0.12,0.05,0.13,0.11,0.442952615
79,209,0.111111111,0.222222222,0.222222222,0,0.222222222,0.222222222,0.410206755
17,482,0.31,0.172,0.172,0,0.172,0.172,0.370756369
